Posizioa,Id,Porralaria,Puntuak,Saria
1,80,Porruek,1686,720.00 €
2,84,Landismo,1630,414.00 €
3,35,Sete invernau 2,1626,234.00 €
4,27,Lasa,1624,162.00 €
5,68,Saligari,1614,108.00 €
6,70,La diva,1581,72.00 €
7,48,Pipe,1576,
8,58,Gamarrakoak 6,1576,
9,81,El tocopillano,1573,
10,51,Getxena 3,1572,
11,12,Baiba,1570,
12,69,Ferrigato,1565,
13,62,Gamarrakoak2,1556,
14,85,ACAB,1554,
15,72,Gorka Beitia,1550,
16,44,Van Karria,1537,
17,55,Baketxekuak,1536,
18,8,Ni 1,1534,
19,3,Avegatrapa 3,1528,
20,79,Kobox,1528,
21,63,Gamarrakoak 1,1523,
22,46,Globulos Verdes 2,1514,
23,87,La bardot,1514,
24,4,Norbyte,1513,
25,65,Botempi,1511,
26,73,Kriston Lana,1508,
27,33,Egurrak,1507,
28,82,Arturo Vidal,1506,
29,67,Ghirotto,1500,
30,25,Kukutx,1499,
31,49,Des les grottes,1498,
32,26,Axelarrin,1496,
33,75,Rambo,1494,
34,59,Gamarrakoak 5,1491,
35,54,Jenny,1487,
36,90,Aquiles talon,1481,
37,64,Rosola,1472,
38,43,Abeto 4,1469,
39,47,Van der Kulen,1469,
40,56,Baketxe,1469,
41,89,Urraitzaga,1468,
42,60,Gamarrakoak 4,1465,
43,6,Gru ta gar 2,1464,
44,52,Getxena 2,1464,
45,14,AT Celaya 2,1460,
46,40,Abeto 1,1459,
47,57,Nere,1459,
48,61,Gamarrakoak 3,1459,
49,45,Globulos Verdes 1,1458,
50,22,Urugu,1454,
51,41,Abeto 2,1454,
52,1,Avegatrapa 1,1453,
53,66,Furlan,1452,
54,31,Paradise City,1445,
55,42,Abeto 3,1445,
56,83,Aurten Bai!!!,1441,
57,36,Sete invernau 1,1438,
58,37,Agarre 1,1435,
59,2,Avegatrapa 2,1431,
60,86,1312,1426,
61,11,Damba,1419,
62,38,Agarre 2,1419,
63,24,Gaizkasaren,1416,
64,30,You coul be mine,1416,
65,17,Felix Gallcetines,1413,
66,71,El divo,1407,
67,28,Leñas,1406,
68,7,Bernatarrak,1403,
69,39,Iñaki,1403,
70,15,AT Celaya 3,1401,
71,74,Joseba Arrizabalaga,1400,
72,77,Demetrio,1386,
73,20,Faith the more,1379,
74,18,Felix Galletas,1378,
75,50,Zubi 28,1371,
76,5,Gru ta gar,1369,
77,88,Fransua ta dipon,1366,
78,13,AT Celaya 1,1364,
79,78,Raien,1355,
80,23,Xabikas,1351,
81,53,Getxena 1,1350,
82,9,Ni 2,1333,
83,34,Dekabe,1318,
84,21,Motosierras,1306,
85,19,Ra,1296,
86,10,No control,1290,
87,76,Joxmi,1279,
88,29,Ra 1,1249,
89,32,Wellcome to the jungle,1223,
90,16,Againts the grain,1103,
