Posizioa,Id,Porralaria,Puntuak,Saria
1,31,Baketxe 1,1344,416.00 €
2,28,Felipe Olmedo,1335,260.00 €
3,52,Okamika txapeldun,1330,156.00 €
4,13,Torero,1293,104.00 €
5,34,Black Block,1292,62.40 €
6,44,Lasa,1262,41.60 €
7,48,Dimitri,1245,Afaria
8,41,Aixola,1217,
9,6,FARRA,1196,
10,40,Patxizena,1183,
11,5,BAIBA,1163,
12,38,Helene,1163,
13,43,Il Divo,1163,
14,45,Globulos Verdes 2,1163,
15,27,Felipe Tarangu,1160,
16,24,Alejaoza,1159,
17,26,Felipe De les Grotes,1156,
18,20,BINK BANK,1131,
19,12,Nire porrie,1130,
20,10,Villa joya 1,1128,
21,46,Globulos Verdes 1,1117,
22,22,Aitor Ayastuy,1116,
23,50,De Vegas,1116,
24,42,La diva,1049,
25,15,Joni bigun,1041,
26,47,Dimitrov,1029,
27,23,Aitor Ayastuy 2,1014,
28,2,RA-MA (betrayer),1008,
29,8,BIXA,1008,
30,51,Goitia,1008,
31,36,Block Black,1001,
32,37,Baketxe,993,
33,7,JUANJO IÑAKI,984,
34,11,Villa joya 3,937,
35,39,Peru,930,
36,49,Eriko,920,
37,3,CILU,917,
38,35,Clavos Evaristo,914,
39,16,Almacenes,911,
40,30,Jenny,910,
41,25,Paixajo,905,
42,4,DAMBA,902,
43,33,Eskartin,842,
44,17,Quintano,835,
45,29,Etxondoko,811,
46,14,Kukurutxo,800,
47,9,villa joya 2,791,
48,18,Cachucha,764,
49,19,Sagarra Postobon,747,
