Posizioa,Id,Porralaria,Puntuak,Saria
1,41,Kas Naranja,1367,456.00 €
2,9,Erruberabekue,1326,262.20 €
3,26,Abeto 1,1260,148.20 €
4,44,Gidari,1248,102.60 €
5,51,Txomin Perurena,1225,68.40 €
6,20,Ah Bueno Vaena,1224,45.60 €
7,36,La Diva,1211,
8,24,Goitia,1200,
9,40,Bontempi,1199,
10,34,Beñat Madina,1176,
11,8,Kobox,1168,
12,21,Calleri,1168,
13,37,Saligari,1166,
14,14,Baketxe 1,1165,
15,19,Eel Tocopillano,1155,
16,46,Pepita,1151,
17,25,Doble Pibote,1146,
18,28,Abeto 3,1142,
19,35,El Divo,1137,
20,22,Rambo,1133,
21,29,Abeto 4,1130,
22,2,Grutagar,1118,
23,48,Almacenes 1,1116,
24,17,Sabin,1107,
25,31,Gorka Beitia,1107,
26,32,Kukuts,1101,
27,33,Xabikas,1094,
28,57,Bertxo Batxuk,1088,
29,47,Almacenes 2,1083,
30,43,Lasa,1081,
31,38,Ferrigato,1077,
32,39,Ghirotto,1072,
33,27,Abeto 2,1067,
34,56,Aitor Errasti,1055,
35,52,De Les Grottes,1043,
36,55,At.Celaya,1040,
37,12,Baketxe 3,1027,
38,6,Gamarrakoak 4,1025,
39,13,Baketxe 2,1024,
40,54,Rick Van Loy,1022,
41,23,De Vegas,996,
42,7,Joxmi,991,
43,30,Penny Lane,981,
44,3,Gamarrakoak 1,980,
45,45,Pepito,971,
46,4,Gamarrakoak 2,961,
47,5,Gamarrakoak 3,961,
48,49,Erizcircus,932,
49,15,Jony Pinchos,926,
50,16,Salvador,920,
51,42,Kas Limon,900,
52,53,Porras,878,
53,50,Cociñillas,852,
54,11,Baiba,838,
55,18,Porruek,812,
56,10,Damba,798,
57,1,Bernatarrak,784,
